tool,technique,total_packages,detected,missed,detection_rate
sap_RF,encrypted_communication,28,17,11,0.6071428571428571
sap_RF,user_agent_spoofing,169,2,167,0.011834319526627219
sap_RF,pretest_hook_abuse,2,2,0,1.0
sap_RF,malicious_download,60,15,45,0.25
sap_RF,string_obfuscation,681,222,459,0.32599118942731276
sap_RF,hex_encoding,635,587,48,0.9244094488188976
sap_RF,dependency_confusion,25,17,8,0.68
sap_RF,background_execution,222,77,145,0.34684684684684686
sap_RF,minimal_code,739,348,391,0.4709066305818674
sap_RF,base32_encoding,9,8,1,0.8888888888888888
sap_RF,native_code_execution,21,12,9,0.5714285714285714
sap_RF,install_script_abuse,529,422,107,0.7977315689981096
sap_RF,variable_indirection,341,115,226,0.33724340175953077
sap_RF,command_injection,1,1,0,1.0
sap_RF,built_in_module_abuse,4426,3121,1305,0.7051513782196114
sap_RF,uninstall_script_abuse,4,0,4,0.0
sap_RF,postinstall_hook_abuse,629,303,326,0.48171701112877585
sap_RF,command_and_control,6,1,5,0.16666666666666666
sap_RF,base64_encoding,554,381,173,0.6877256317689531
sap_RF,anti_static_analysis,224,47,177,0.20982142857142858
sap_RF,dynamic_evaluation,207,55,152,0.26570048309178745
sap_RF,anti_debugging,59,3,56,0.05084745762711865
sap_RF,multi_platform_support,124,50,74,0.4032258064516129
sap_RF,file_cleanup,51,9,42,0.17647058823529413
sap_RF,wildcard_url_matching,7,0,7,0.0
sap_RF,prepare_hook_abuse,7,1,6,0.14285714285714285
sap_RF,environment_detection,204,117,87,0.5735294117647058
sap_RF,sandbox_detection,16,14,2,0.875
sap_RF,silent_error_handling,4127,2997,1130,0.7261933607947662
sap_RF,ip_spoofing,1,0,1,0.0
sap_RF,typosquatting,6,4,2,0.6666666666666666
sap_RF,runtime_caching,9,2,7,0.2222222222222222
sap_RF,event_based_execution,85,0,85,0.0
sap_RF,error_suppression,219,155,64,0.7077625570776256
sap_RF,multi_endpoint_exfiltration,35,21,14,0.6
sap_RF,test_script_abuse,213,80,133,0.3755868544600939
sap_RF,preinstall_hook_abuse,4510,3798,712,0.8421286031042129
sap_RF,code_splitting,36,17,19,0.4722222222222222
sap_RF,dns_exfiltration,220,200,20,0.9090909090909091
sap_RF,shell_expansion,270,242,28,0.8962962962962963
sap_RF,disposable_email_usage,2,2,0,1.0
sap_RF,base58_encoding,1,0,1,0.0
sap_RF,conditional_execution,483,356,127,0.7370600414078675
sap_RF,timing_based_evasion,16,9,7,0.5625
sap_RF,domain_generation,59,55,4,0.9322033898305084
sap_RF,legitimate_api_abuse,4623,3425,1198,0.7408609128271685
