technique,count,percentage
legitimate_api_abuse,4623,74.11029176017955
preinstall_hook_abuse,4510,72.2988137223469
built_in_module_abuse,4426,70.95222827829433
silent_error_handling,4127,66.15902532863097
network_traffic_blending,3601,57.72683552420648
minimal_code,739,11.846745751843539
string_obfuscation,681,10.916960564283425
hex_encoding,635,10.179544725873678
postinstall_hook_abuse,629,10.083360051298493
base64_encoding,554,8.881051619108689
install_script_abuse,529,8.480282141712086
conditional_execution,483,7.74286630330234
variable_indirection,341,5.466495671689644
shell_expansion,270,4.328310355883296
anti_static_analysis,224,3.5908945174735494
background_execution,222,3.5588329592818213
dns_exfiltration,220,3.5267714010900932
error_suppression,219,3.5107406219942288
test_script_abuse,213,3.414555947419044
dynamic_evaluation,207,3.3183712728438604
environment_detection,204,3.270278935556268
user_agent_spoofing,169,2.709201667201026
multi_platform_support,124,1.9878166078871433
control_flow_flattening,122,1.9557550496954152
event_based_execution,85,1.362616223148445
malicious_download,60,0.9618467457518435
anti_debugging,59,0.9458159666559794
domain_generation,59,0.9458159666559794
file_cleanup,51,0.817569733889067
code_splitting,36,0.5771080474511061
multi_endpoint_exfiltration,35,0.5610772683552421
encrypted_communication,28,0.44886181468419367
dependency_confusion,25,0.40076947739660146
native_code_execution,21,0.33664636101314527
sandbox_detection,16,0.25649246553382493
timing_based_evasion,16,0.25649246553382493
base32_encoding,9,0.14427701186277653
runtime_caching,9,0.14427701186277653
wildcard_url_matching,7,0.11221545367104842
prepare_hook_abuse,7,0.11221545367104842
command_and_control,6,0.09618467457518436
typosquatting,6,0.09618467457518436
uninstall_script_abuse,4,0.06412311638345623
disposable_email_usage,2,0.032061558191728116
pretest_hook_abuse,2,0.032061558191728116
base58_encoding,1,0.016030779095864058
command_injection,1,0.016030779095864058
ip_spoofing,1,0.016030779095864058
