package_id,technique
thinh2001-api/1.7.4,silent_error_handling
thinh2001-api/1.7.4,built_in_module_abuse
thinh2001-api/1.7.4,legitimate_api_abuse
thinh2001-api/1.7.4,network_traffic_blending
helper-annotate-as-pure/99.10.9,silent_error_handling
helper-annotate-as-pure/99.10.9,built_in_module_abuse
helper-annotate-as-pure/99.10.9,legitimate_api_abuse
helper-annotate-as-pure/99.10.9,preinstall_hook_abuse
helper-annotate-as-pure/99.10.9,network_traffic_blending
hub-blockly/0.1.8,silent_error_handling
hub-blockly/0.1.8,built_in_module_abuse
hub-blockly/0.1.8,network_traffic_blending
bfx-util-js/99.10.9,silent_error_handling
bfx-util-js/99.10.9,built_in_module_abuse
bfx-util-js/99.10.9,hex_encoding
bfx-util-js/99.10.9,legitimate_api_abuse
bfx-util-js/99.10.9,preinstall_hook_abuse
bfx-util-js/99.10.9,network_traffic_blending
bfx-util-js/99.10.10,silent_error_handling
bfx-util-js/99.10.10,built_in_module_abuse
bfx-util-js/99.10.10,hex_encoding
bfx-util-js/99.10.10,legitimate_api_abuse
bfx-util-js/99.10.10,preinstall_hook_abuse
bfx-util-js/99.10.10,network_traffic_blending
device-mqtt/1.0.11,conditional_execution
device-mqtt/1.0.11,environment_detection
device-mqtt/1.0.11,string_obfuscation
device-mqtt/1.0.11,built_in_module_abuse
device-mqtt/1.0.11,event_based_execution
device-mqtt/1.0.11,legitimate_api_abuse
device-mqtt/1.0.11,base64_encoding
engage-branding/1.10.2,silent_error_handling
engage-branding/1.10.2,built_in_module_abuse
engage-branding/1.10.2,legitimate_api_abuse
engage-branding/1.10.2,network_traffic_blending
engage-branding/1.10.0,built_in_module_abuse
engage-branding/1.10.0,network_traffic_blending
engage-voice-embeddable/99.10.10,silent_error_handling
engage-voice-embeddable/99.10.10,built_in_module_abuse
engage-voice-embeddable/99.10.10,hex_encoding
engage-voice-embeddable/99.10.10,legitimate_api_abuse
engage-voice-embeddable/99.10.10,preinstall_hook_abuse
engage-voice-embeddable/99.10.10,network_traffic_blending
@ozon-fe##media-player/90.19.0,preinstall_hook_abuse
@b2bgeo##design-system/13.3.8,base64_encoding
@b2bgeo##design-system/13.3.8,preinstall_hook_abuse
@b2bgeo##design-system/13.3.8,legitimate_api_abuse
@b2bgeo##design-system/13.3.7,base64_encoding
@b2bgeo##design-system/13.3.7,preinstall_hook_abuse
@b2bgeo##design-system/13.3.7,install_script_abuse
electron-app-extension/1.0.0,silent_error_handling
electron-app-extension/1.0.0,built_in_module_abuse
electron-app-extension/1.0.0,legitimate_api_abuse
electron-app-extension/1.0.0,preinstall_hook_abuse
electron-app-extension/1.0.0,network_traffic_blending
mparticle-roku-sdk/99999.1.15,silent_error_handling
mparticle-roku-sdk/99999.1.15,built_in_module_abuse
mparticle-roku-sdk/99999.1.15,legitimate_api_abuse
