hasInstallScript,false
includeIP,false
useBase64Conversion,true
useBase64ConversionInScript,false
includeBase64String,true
includeBase64StringInScript,false
includeByteString,false
includeDomain,0
includeDomainInScript,0
useBuffer,false
useEval,false
useProcess,false
useProcessInScript,false
useFileSystem,false
useFileSystemInScript,false
useNetwork,false
useNetworkInScript,false
useProcessEnv,false
useProcessEnvInScript,false
containSuspicousString,false
useEncryptAndEncode,false
useOperatingSystem,false
includeObfuscatedCode,false
