hasInstallScript,false
includeIP,true
useBase64Conversion,false
useBase64ConversionInScript,false
includeBase64String,true
includeBase64StringInScript,false
includeByteString,false
includeDomain,3
includeDomainInScript,0
useBuffer,true
useEval,false
useProcess,true
useProcessInScript,false
useFileSystem,true
useFileSystemInScript,false
useNetwork,false
useNetworkInScript,false
useProcessEnv,true
useProcessEnvInScript,false
containSuspicousString,false
useEncryptAndEncode,false
useOperatingSystem,true
includeObfuscatedCode,false
