Malicious,Package Repository,Package Name,Number of Words in source code,Number of lines in source code,plus ratio mean,plus ratio max,plus ratio std,plus ratio q3,eq ratio mean,eq ratio max,eq ratio std,eq ratio q3,bracket ratio mean,bracket ratio max,bracket ratio std,bracket ratio q3,Number of base64 chunks in source code,Number of IP adress in source code,Number of sospicious token in source code,Number of Words in metadata,Number of lines in metadata,Number of base64 chunks in metadata,Number of IP adress in metadata,Number of sospicious token in metadata,.bat,.bz2,.c,.cert,.conf,.cpp,.crt,.css,.csv,.deb,.erb,.gemspec,.gif,.gz,.h,.html,.ico,.ini,.jar,.java,.jpg,.js,.json,.key,.m4v,.markdown,.md,.pdf,.pem,.png,.ps,.py,.rb,.rpm,.rst,.sh,.svg,.toml,.ttf,.txt,.xml,.yaml,.yml,.eot,.exe,.jpeg,.properties,.sql,.swf,.tar,.woff,.woff2,.aac,.bmp,.cfg,.dcm,.dll,.doc,.flac,.flv,.ipynb,.m4a,.mid,.mkv,.mp3,.mp4,.mpg,.ogg,.otf,.pickle,.pkl,.psd,.pxd,.pxi,.pyc,.pyx,.r,.rtf,.so,.sqlite,.tif,.tp,.wav,.webp,.whl,.xcf,.xz,.zip,.mov,.wasm,.webm,presence of installation script,shannon mean ID source code,shannon std ID source code,shannon max ID source code,shannon q3 ID source code,shannon mean string source code,shannon std string source code,shannon max string source code,shannon q3 string source code,homogeneous identifiers in source code,homogeneous strings in source code,heteregeneous identifiers in source code,heterogeneous strings in source code,URLs in source code,shannon mean ID metadata,shannon std ID metadata,shannon max ID metadata,shannon q3 ID metadata,shannon mean string metadata,shannon std string metadata,shannon max string metadata,shannon q3 string metadata,homogeneous identifiers in metadata,homogeneous strings in metadata,heterogeneous strings in metadata,URLs in metadata,heteregeneous identifiers in metadata
0,NPM,URIjs-1.16.1,17325,4100,0.001424746,0.003460208,0.001100081,0.001522062,0.007786537,0.015060446,0.00390131,0.008616719,0.00354012,0.01076509,0.003480056,0.005597382,18,0,2,132,77,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060956396,0.1282613710808351,0.9609640474436812,0,0.031724346,0.1215903469058733,0.9591479170272448,0,7993,3245,12,60,0,0.066561426,0.1165208951296335,0.3609640474436811,0.088339834,0.2431100177305241,0.2661827610496219,0.8429078545765152,0.4854752972273343,20,38,5,4,0
0,NPM,abbstrap-1.0.23,83285,29190,0.000810631,0.002945302,0.000838055,0.001370593,0.007650696,0.016076485,0.002607203,0.008184066,0.002193657,0.011961722,0.001823228,0.00256898,30,0,16,593,166,6,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1447114949887347,0.1717942909448524,0.8322488896002308,0.2717822215997982,0.1501803167488393,0.17854714,0.79248125,0.3096910973393819,34035,2219,2689,48,32,0.1496343989270256,0.1277885389450367,0.3609640474436811,0.2516291673878228,0.2802962739995267,0.189770426,0.79248125,0.4056390622295664,55,112,45,7,0
0,NPM,abs1004-axios-0.21.4,14306,4303,0.001320021,0.009615385,0.00233217,0.001878336,0.006770253,0.024390244,0.004723796,0.008138485,0.001692267,0.008632597,0.002515414,0.002138462,36,0,5,203,90,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075958889,0.13577752,0.5783898247235197,0.1686450333085069,0.156559838,0.2031392012128419,0.6893917467430878,0.2958363892911637,5283,520,0,11,4,0.092626584,0.1211460887968438,0.4329283087286117,0.2197484934607567,0.2557833210472177,0.2426607070162797,0.79248125,0.5,44,46,32,4,1
0,NPM,acc-strapi-1.0.0,17870,6511,0.000267333,0.007042254,0.000976132,0,0.008821053,0.020512821,0.003705176,0.010070187,0.001213398,0.011173184,0.001921793,0.001690093,17,0,7,270,140,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95,20,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07162737,0.1211528933660905,0.5,0.1856161633204378,0.1214835274665245,0.1709682944812397,0.7233083338141041,0.2717822215997982,6418,1391,0,5,9,0.1026584218766246,0.1375445868544306,0.6493974703476992,0.2197484934607567,0.2421677334697889,0.2448982434300921,0.75,0.4926140680171258,51,68,43,3,2
0,NPM,accounting-0.4.1,24470,6480,0.001806575,0.004441624,0.001425819,0.002796358,0.00834528,0.019806338,0.006849484,0.013314054,0.004480545,0.014157864,0.004332624,0.007974827,27,0,5,59,15,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05011686,0.1147962904231876,0.75,0,0.1621429039194593,0.2051643321255194,0.9319131950454078,0.325011211,25686,1472,6,183,4,0,0,0,0,0.1922174360385206,0.1725326175280786,0.4854752972273343,0.354417837,12,14,1,5,0
0,NPM,actid-react-error-overlay-4.0.5,25367,5734,0.000214419,0.000214419,0,0.000214419,0.002683846,0.002683846,0,0.002683846,0.000655302,0.000655302,0,0.000655302,41,0,4,158,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1447652337904234,0.1756517840523606,0.8189609709102907,0.2717822215997982,0.3997468664595357,0.2387432381933097,0.9686980511672012,0.5741647627809028,3659,653,107,878,13,0.1265532994829031,0.1277387671369806,0.4969486319682115,0.2344977967946406,0.3147701323224245,0.2278153410891804,0.7097781492858066,0.4908293753196779,25,23,28,1,1
0,NPM,admin-lte-3.2.0,19295,8299,0.000261162,0.002760405,0.000622728,0.000167127,0.005529972,0.013068794,0.002755021,0.006908112,0.002276342,0.014354067,0.002670899,0.002599156,10,0,1,481,156,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,70,0,0,0,0,16,30,7,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1502854416019506,0.1723447559935984,0.7295739585136224,0.2717822215997982,0.2397718678486587,0.1919605249234027,0.9056390622295662,0.3420192178195208,7923,660,316,155,7,0.1538394485971782,0.1419760057455637,0.4527936308491301,0.2717822215997982,0.3034270692335144,0.1980613693676914,0.79248125,0.4926140680171258,59,83,83,5,18
0,NPM,amazon-cognito-auth-js-1.3.3,84125,26119,0.000747107,0.010141988,0.002133721,0,0.008032329,0.02484472,0.006985278,0.009014659,0.000800821,0.006305807,0.001165039,0.00116043,74,0,19,172,66,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,48,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080111461,0.1454249305948555,0.8429078545765152,0.1856161633204378,0.2090551315239323,0.2194151317246098,0.9751060324573736,0.3609640474436811,51626,2501,214,204,21,0.097633533,0.1449470406482023,0.5948659584103665,0.2344977967946406,0.2699257616548995,0.2262704864748644,0.8804820237218406,0.4591479170272448,29,37,17,4,2
0,NPM,analytics-node-6.0.0,970,332,0.000111025,0.000111025,0,0.000111025,0.005662263,0.005662263,0,0.005662263,0.00022205,0.00022205,0,0.00022205,0,0,1,142,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071665957,0.1242606967814546,0.5,0.1956217818146278,0.1302504203627595,0.1754294788610245,0.612197223,0.2580691459585263,273,24,0,1,1,0.064113294,0.112935142,0.4591479170272448,0.1766796675107106,0.2445731621395561,0.2323701138509308,0.6997906153230322,0.4926140680171258,36,32,27,2,0
0,NPM,angular-1.8.3,163844,36954,0.000875512,0.002311565,0.00125359,0.001313267,0.014339112,0.020408163,0.010134529,0.020188916,0.002558803,0.006788108,0.003689517,0.003838205,28,0,10,54,25,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096332345,0.1530184085577402,0.7609640474436811,0.2197484934607567,0.1767607849626664,0.206730746,0.8962406251802889,0.325011211,36204,1565,14,167,5,0,0,0,0,0.1583849876093325,0.1992457560088419,0.6893917467430878,0.3455224202259591,15,16,1,3,0
