year,Anti_Analysis,Code_Structure_Obfuscation,Dependency_Confusion,Encoding_Obfuscation,Environment_Detection,Hook_Abuse,Module_Abuse,Network_Communication_Hiding,Runtime_Caching,Silent_Error_Handling,Stealth_Execution,String_Obfuscation,Trace_Cleanup,Typosquatting
2015,0,1,0,0,0,15,12,3,0,3,1,0,0,0
2016,0,4,0,6,1,14,8,5,0,8,5,2,0,0
2017,0,0,0,37,1,54,49,7,0,3,1,1,0,0
2018,3,20,0,35,30,15,30,8,1,12,45,29,0,0
2019,3,4,1,2,1,60,48,2,0,6,7,3,0,3
2020,1,8,1,3,4,17,17,3,1,6,6,2,0,0
2021,27,120,1,544,49,710,682,547,2,626,71,122,1,0
2022,91,158,1,101,116,1351,1417,1195,0,1270,442,170,0,1
2023,26,352,6,153,47,1258,1381,962,1,1003,225,116,36,1
2024,88,334,10,169,39,1302,1442,824,1,993,288,177,12,1
