category,total_packages,earliest_period,latest_period,peak_period,peak_count,periods_active
Module_Abuse,5097,early2020,2024-2025,2024-2025,1443,5
Hook_Abuse,4815,early2020,2024-2025,2022,1351,5
Silent_Error_Handling,3934,early2020,2024-2025,2022,1270,5
Network_Communication_Hiding,3561,early2020,2024-2025,2022,1195,5
Stealth_Execution,1092,early2020,2024-2025,2022,442,5
Encoding_Obfuscation,1051,early2020,2024-2025,2021,544,5
Code_Structure_Obfuscation,1002,early2020,2024-2025,2023,352,5
String_Obfuscation,623,early2020,2024-2025,2024-2025,177,5
Environment_Detection,288,early2020,2024-2025,2022,116,5
Anti_Analysis,240,early2020,2024-2025,2022,91,5
Trace_Cleanup,49,2021,2024-2025,2023,36,3
Dependency_Confusion,20,early2020,2024-2025,2024-2025,10,5
Typosquatting,6,early2020,2024-2025,early2020,3,4
Runtime_Caching,6,early2020,2024-2025,early2020,2,4
