category,count,percentage,description
String_Obfuscation,541,19.637023593466424,"Hiding malicious strings and code patterns through string splitting, Unicode obfuscation, and custom decryption"
Encoding_Obfuscation,374,13.575317604355716,"Obfuscating malicious code through various encoding methods like Base64, hexadecimal, Base32, etc."
Silent_Error_Handling,366,13.284936479128856,Hiding malicious behavior by silently handling errors and suppressing exceptions
Hook_Abuse,352,12.77676950998185,Abusing NPM package lifecycle hooks to execute malicious code during installation phases
Code_Structure_Obfuscation,325,11.796733212341199,"Obfuscating code structure through control flow flattening, code splitting, variable indirection, and code minimization"
Stealth_Execution,263,9.54627949183303,"Controlling malicious code execution timing and stealth through dynamic evaluation, conditional execution, and shell operations"
Module_Abuse,175,6.352087114337568,Abusing built-in modules and legitimate APIs to perform malicious operations
Network_Communication_Hiding,144,5.226860254083484,"Hiding network behavior through traffic blending, DNS exfiltration, communication spoofing, and encryption"
Environment_Detection,117,4.246823956442832,Detecting runtime environment and supporting multiple platforms for adaptive execution
Anti_Analysis,54,1.9600725952813067,"Preventing static analysis, debugging detection, tampering, and using file padding to evade detection"
Trace_Cleanup,30,1.0889292196007259,Cleaning up files and traces to reduce detection likelihood
Dependency_Confusion,6,0.21778584392014522,Exploiting dependency confusion vulnerabilities in package management
Typosquatting,4,0.1451905626134301,Using similar package names to deceive users into installing malicious packages
Runtime_Caching,4,0.1451905626134301,Caching techniques used during runtime execution
