Package-Name,Link,Path,Date-Download,Trigger,Objective,Description,Cluster,Query
scilla,"npmjs.com/package/scilla",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
scilla-server,"npmjs.com/package/scilla-server",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
tangerine-state-viewer,"npmjs.com/package/tangerine-state-viewer",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
ual-reactjs-renderer-example,"npmjs.com/package/ual-reactjs-renderer-example",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
universal-authenticator-library-js-example,"npmjs.com/package/universal-authenticator-library-js-example",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
vault-updater,"npmjs.com/package/vault-updater",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
vimeo-threejs-player,"npmjs.com/package/vimeo-threejs-player",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
vimeo_depth_player,"npmjs.com/package/vimeo_depth_player",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
vt-blockchain-bootcamp-starter-frontend,"npmjs.com/package/vt-blockchain-bootcamp-starter-frontend",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
web-discovery-project,"npmjs.com/package/web-discovery-project",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
z-wallet,"npmjs.com/package/z-wallet",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
zilliqa-exchange-tutorial,"npmjs.com/package/zilliqa-exchange-tutorial",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
zilliqa-token-contract,"npmjs.com/package/zilliqa-token-contract",/package/index.js,23.05,Install,Unknown,Requests some unknown IP address and saves itself as dependency,1,dependency-save
