package_type,package_name,version,actual_label,MLP,NB,SVM
benign,cfsz8vr_97l9m,1.0.0,benign,benign,benign,benign
benign,ts-try-catch,0.0.1,benign,benign,benign,benign
benign,@jclem##assert,3.1.0,benign,benign,benign,benign
benign,@hyela_fnc##react-native-maps-osmdroid,1.0.1,benign,benign,benign,benign
benign,cannon-es-cn,1.0.1,benign,benign,benign,benign
benign,actions-observer,1.0.2,benign,benign,benign,benign
benign,colors-formater,0.0.9,benign,benign,benign,benign
benign,footprinter,0.0.44,benign,benign,benign,benign
benign,@virtuals-protocol##game-eval-engine-plugin,0.1.0,benign,benign,benign,benign
benign,material-ui-dots,3.0.0,benign,benign,benign,benign
benign,simulated_annealling,2.0.2,benign,benign,benign,benign
benign,@proficient##ds,0.3.2,benign,benign,benign,benign
benign,num_operation,1.0.8,benign,benign,benign,benign
benign,babbage-bsv,0.2.5,benign,benign,benign,benign
benign,@rowno##sparkline,4.0.0,benign,benign,benign,benign
benign,apostrophe-rss,0.5.20,benign,benign,benign,benign
benign,@dev_explorer##react-file-viewer,1.2.1-c,benign,benign,benign,benign
benign,react-native-pdf-view-new,0.4.0,benign,benign,benign,benign
benign,@girs##node-gegl-0.3,0.3.35-3.3.0,benign,benign,benign,benign
benign,component-material,1.0.7,benign,benign,benign,benign
benign,proyecto-1a-matematicas-js-package,1.0.1,benign,benign,benign,benign
benign,scss-shortcuts,1.1.1,benign,benign,benign,benign
benign,grunt-exists,0.0.2,benign,benign,benign,benign
benign,keystone_oss,0.4.22,benign,benign,benign,benign
benign,@beyondessential##arithmetic,2.1.1,benign,malicious,malicious,malicious
benign,didof-common,1.0.7,benign,benign,benign,benign
benign,@naivemap##mapbox-gl-polygon-morpher,0.1.0,benign,benign,benign,benign
benign,react-weui-bidi,1.0.6,benign,benign,benign,benign
benign,@apocentre##alias-sampling,0.5.3,benign,benign,benign,benign
benign,apostrophe-docs-popularity,2.0.2,benign,benign,benign,benign
benign,game-kfc,0.0.12,benign,benign,benign,benign
benign,@patched##grunt-webfont,1.9.0,benign,benign,benign,benign
benign,d3-base,0.0.2,benign,benign,benign,benign
benign,@motardo##calc,1.0.3,benign,benign,benign,benign
benign,@reusable-web##page-header,0.3.1,benign,benign,benign,benign
benign,optical-js,1.1.1,benign,benign,benign,benign
benign,ofregexp,1.0.0,benign,benign,benign,benign
benign,homebridge-xiaomi,0.9.0,benign,benign,benign,benign
benign,optimization-js,1.5.0,benign,benign,benign,benign
benign,how-close,1.1.1,benign,benign,benign,benign
benign,@spudly##range,0.1.0,benign,benign,benign,benign
benign,heaviside,3.0.0,benign,benign,benign,benign
benign,vue-cli-plugin-moralisqv,1.2.1,benign,benign,benign,benign
benign,lemonj,0.2.0,benign,benign,benign,benign
benign,particles-storm,1.2.0,benign,benign,benign,benign
benign,typedoc-light-theme,1.1.0,benign,benign,benign,benign
benign,@holisticon##mutti,0.1.2,benign,benign,benign,benign
benign,koa-i18n-next,0.0.6,benign,benign,benign,benign
benign,graphql-express-exporter,1.0.0,benign,benign,benign,benign
benign,fretting,0.1.77,benign,benign,benign,benign
benign,@paranode##typeorm-seeding,3.1.2,benign,benign,benign,benign
benign,@smoovy##webgl,1.2.10,benign,benign,benign,benign
benign,smart-image-gallery,1.1.2,benign,benign,benign,benign
benign,hex-rgba,1.0.2,benign,benign,benign,benign
benign,react-vanishingcabinet,0.2.0,benign,benign,benign,benign
benign,@alexkmerz##tiny,1.0.2,benign,malicious,benign,benign
benign,root-of-unity,1.0.0,benign,benign,benign,benign
benign,aj-anthony-joshua-vs-jermaine-franklin-fight-live-now4k,4.2.7,benign,benign,benign,benign
benign,gamepad.js,2.1.0,benign,benign,benign,benign
benign,@basementuniverse##bm25,0.1.0,benign,benign,benign,benign
benign,k8s-resource-parser,0.2.2,benign,benign,benign,benign
benign,sass-vars-to-json2,0.0.4,benign,benign,benign,benign
benign,grunt-hogan,0.3.1,benign,benign,benign,benign
benign,mvns,1.0.0,benign,malicious,benign,benign
benign,vue3-seamless-scroll,3.0.2,benign,benign,benign,benign
benign,grunt-checkrepo,0.1.0,benign,benign,benign,benign
benign,react-gradient-animation,1.0.7,benign,benign,benign,benign
benign,jwt-security,1.1.1,benign,benign,benign,benign
benign,tiny-label,2.0.1,benign,benign,benign,benign
benign,eslint-config-current-thing,8.0.3,benign,benign,benign,benign
benign,flairjs,0.59.75,benign,benign,benign,benign
benign,mapshaper-simplify,2.0.2,benign,benign,benign,benign
benign,glucotru-blood-sugar-support-formula-reviews,1.0.0,benign,benign,benign,benign
benign,gpt-subb,1.0.2,benign,benign,benign,benign
benign,grunt-periodic,1.1.0,benign,benign,benign,benign
benign,@shiguredo##light-adjustment-gpu,2023.1.1,benign,benign,benign,benign
benign,wind-layer-gl,0.0.2,benign,benign,benign,benign
benign,print-template,1.2.8,benign,benign,benign,benign
benign,@vestiacom##pixel-perfect-storybook-addon,0.3.0,benign,benign,benign,benign
benign,tailnative.redux,0.0.1,benign,malicious,malicious,malicious
benign,lee-water-mark,1.0.1,benign,benign,benign,benign
benign,@playframe##h,1.0.1,benign,benign,benign,benign
benign,@hackless-project##swap,3.1.1,benign,benign,benign,benign
benign,show-airing-today,1.0.1,benign,malicious,benign,benign
benign,yaam,1.1.1,benign,benign,benign,benign
benign,then-while,0.1.0,benign,benign,benign,benign
benign,unflexible-ui-next-page,0.1.0,benign,benign,benign,benign
benign,@jarvisniu##transition,0.1.4,benign,benign,benign,benign
benign,@kalisio##feathers-distributed,2.4.0,benign,benign,benign,benign
benign,isf,0.4.1,benign,benign,benign,benign
benign,@caesar003##slider-captcha-react,1.0.1,benign,benign,benign,benign
benign,hi-calc-pro,1.0.1,benign,benign,benign,benign
benign,jquery-fireworks,1.0.4,benign,benign,benign,benign
benign,@wetrial##ui-theme,1.0.3,benign,benign,benign,benign
benign,glsl-vignette,1.1.0,benign,benign,benign,benign
benign,croquette,1.0.2,benign,benign,benign,benign
benign,@pencil.js##progress-pie,1.18.0,benign,benign,benign,benign
benign,@tblackford##blackorwhite,1.0.2,benign,benign,benign,benign
benign,@itdeltalabs##bunnyswap-smart-order-router,2.0.6,benign,benign,benign,benign
benign,@elastic##leaflet-heat,0.1.3,benign,benign,benign,benign
benign,elasticsearch-graphql,3.0.2,benign,benign,benign,benign
benign,baudio-party,0.1.0,benign,benign,benign,benign
benign,data-driven-prefetch-and-adaptive-loading,1.0.2,benign,benign,benign,benign
benign,node-red-contrib-nixtla,1.0.2,benign,benign,benign,benign
benign,botkitwit,1.0.0,benign,benign,benign,benign
benign,react-lrcplayer,2.0.1,benign,benign,benign,benign
benign,@netgroup##component-library,0.1.4,benign,benign,benign,benign
benign,drag-zoom-container,1.0.9,benign,benign,benign,benign
benign,vue-scratch-card-pin,1.0.1,benign,benign,benign,benign
benign,cubicbezier,0.1.2,benign,benign,benign,benign
benign,jiralog,0.2.1,benign,benign,benign,benign
benign,@cru##px2vw-loader,1.0.4,benign,benign,benign,benign
benign,@r3f-cutter##r3f-cutter,1.0.8,benign,benign,benign,benign
benign,choose-by-probability,1.0.3,benign,benign,benign,benign
benign,vue-tibi-driver,1.0.6,benign,benign,benign,benign
benign,grunt-bower-event,0.4.0,benign,benign,benign,benign
benign,fd-lib,0.1.1,benign,benign,benign,benign
benign,tailwind-extended-shadows,0.4.1,benign,benign,benign,benign
benign,canna-bee-cbd-gummies-buyhere,1.0.0,benign,benign,benign,benign
benign,double.js,1.1.0,benign,benign,benign,benign
benign,autoprefixer,10.4.21,benign,benign,benign,benign
benign,@lhy-meta-web##ruler,1.2.5,benign,benign,benign,benign
benign,lava-lamp-bubbles,1.0.2-3-1,benign,benign,benign,benign
benign,omi-ripple,0.1.2,benign,benign,benign,benign
benign,blast-mainnet-smart-order-router-26,3.20.0,benign,benign,benign,benign
benign,@dfeidao##fd-m000018,4.6.201908261618,benign,benign,benign,benign
benign,multi-line-omit,1.0.1,benign,benign,benign,benign
benign,nrml,1.0.0,benign,benign,benign,benign
benign,@codebet##react-native-draggable,1.0.15,benign,benign,benign,benign
benign,circuit-retry,1.2.1,benign,benign,benign,benign
benign,broccoli-es6-module-transpiler,0.5.0,benign,benign,benign,benign
benign,clean-pslg-3d,0.1.2,benign,benign,benign,benign
benign,fastsdf,0.0.11,benign,benign,benign,benign
benign,native-keyboard,0.0.1,benign,benign,benign,benign
benign,@fisch0920##use-dark-mode,2.4.0,benign,benign,benign,benign
benign,npm-research,0.2.0,benign,benign,benign,benign
benign,gray-percentage,2.0.0,benign,benign,benign,benign
benign,@harpalabs##ng-core,0.5.0,benign,benign,benign,benign
benign,@vinhtruong##smart-order-router,1.0.0,benign,benign,benign,benign
benign,@shitcointeam##smart-order-router,1.0.3,benign,benign,benign,benign
benign,weui_zhutong,1.1.2,benign,benign,benign,benign
benign,decimal,0.0.2,benign,benign,benign,benign
benign,ngx-leaflet-draw-ntg,5.0.1,benign,benign,benign,benign
benign,@projectriff##message,1.0.0,benign,benign,benign,benign
benign,zoom-by-ironex,1.0.1,benign,benign,benign,benign
benign,prettier-plugin-solidity-refactor,1.0.0-alpha.14,benign,benign,benign,benign
benign,@spooky-swap-dex##smart-order-router,2.0.1-nsdk012,benign,benign,benign,benign
benign,mininow,0.0.1,benign,benign,benign,benign
benign,canvas-react-tools,1.0.1,benign,benign,benign,benign
benign,ansi-es6,0.2.2,benign,benign,benign,benign
benign,grunt-angular-templates-amd,0.1.0,benign,benign,benign,benign
benign,react-native-bg-thread,1.2.0,benign,benign,benign,benign
benign,grunt-json-mapreduce,0.1.6,benign,benign,benign,benign
benign,tcomb-form-native-codificar,0.2.1,benign,benign,benign,benign
benign,kaas-component-library,0.0.234,benign,benign,benign,benign
benign,palettier,2.0.0,benign,benign,benign,benign
benign,flow-floor,0.0.0,benign,benign,benign,benign
benign,@devoto13##angular-fontawesome,0.5.0-5,benign,benign,benign,benign
benign,grunt-contrib-compress,2.0.0,benign,benign,benign,benign
benign,react-smartpicture,1.0.2,benign,benign,benign,benign
benign,ol-map-vue3,0.0.3,benign,benign,benign,benign
benign,@stdlib##stats-base-dists-kumaraswamy-ctor,0.2.2,benign,benign,benign,benign
benign,test3-cf-sdk,0.6.0,benign,benign,benign,benign
benign,ccip-sdk,4.0.24,benign,benign,benign,benign
benign,@fffffffxxxxxxx##videojs-markers,1.1.8,benign,benign,benign,benign
benign,grunt-ngdocs-mourasman,0.2.6,benign,benign,benign,benign
benign,svg-path-interpolator,0.3.0,benign,benign,benign,benign
benign,compress-pictures,1.0.5,benign,benign,benign,benign
benign,gradient2svg,0.0.4,benign,benign,benign,benign
benign,@rushcodes##ion-phaser-react,2.0.2,benign,benign,benign,benign
benign,@gfxlabs##uniswap-smart-order-router,3.17.2-68,benign,benign,benign,benign
benign,water-mask,1.0.4,benign,benign,benign,benign
benign,@ronniesong0809##random-generator,1.0.0,benign,benign,benign,benign
benign,imagemin-cjs-pngquant,9.0.2,benign,benign,benign,benign
benign,smart-css-grid,1.0.0,benign,benign,benign,benign
benign,@redoute##slider-range,0.0.9,benign,malicious,malicious,malicious
benign,image-compressor-react,1.0.0,benign,benign,benign,benign
benign,@ablestack##rdo-apollo-mobx-connector,0.8.7,benign,benign,benign,benign
benign,leaflet.pancontrol,1.0.0,benign,benign,benign,benign
benign,konva-calendar,1.0.5,benign,benign,benign,benign
benign,tincturelib,1.0.2,benign,benign,benign,benign
benign,@crearis##odoo-sdk-api-client,0.7.9,benign,benign,benign,benign
benign,@extra-array##shuffle.min,2.3.2,benign,benign,benign,benign
benign,apify-google-auth,0.6.0,benign,benign,benign,benign
benign,@docpile##document-viewer,0.2.5,benign,benign,benign,benign
benign,grunt-relaxed-json,1.0.4,benign,benign,benign,benign
benign,how-to-hac-k-instagram-without-any-app-2025-free-hac-k-instagram-new,1.0.5,benign,benign,benign,benign
benign,@lewgordon-amplitude##session-replay-browser,1.6.0-beta.10,benign,benign,benign,benign
benign,@cvpcasada##redux-undo,1.0.0-beta9-6,benign,benign,benign,benign
benign,result-type-ts,2.2.0,benign,benign,benign,benign
benign,react-native-sf-switch,1.0.3,benign,benign,benign,benign
benign,aframe-text-plane,1.1.1,benign,benign,benign,benign
benign,@andrevenancio##fragments,0.0.4,benign,benign,benign,benign
benign,yunxiao-form-native,0.0.2,benign,benign,benign,benign
