tool,tool_display,year_group,detection_rate,detected,missed,total
socketai,SocketAI,2023,41.38124649073554,737,1044,1781
socketai,SocketAI,2022,42.11469534050179,705,969,1674
socketai,SocketAI,Unknown,39.92673992673993,109,164,273
socketai,SocketAI,2021,52.54237288135594,434,392,826
socketai,SocketAI,2024-2025,41.443538998835855,712,1006,1718
socketai,SocketAI,2011-2020,56.56934306569343,155,119,274
ossgadget,OSSGadget,2023,95.84503088152722,1707,74,1781
ossgadget,OSSGadget,2011-2020,86.86131386861314,238,36,274
ossgadget,OSSGadget,2022,84.82676224611708,1420,254,1674
ossgadget,OSSGadget,2024-2025,91.38533178114086,1570,148,1718
ossgadget,OSSGadget,2021,95.0363196125908,785,41,826
ossgadget,OSSGadget,Unknown,95.97069597069596,262,11,273
sap_XGB,SAP-XGB,2021,92.98669891172914,769,58,827
sap_XGB,SAP-XGB,2023,71.86973610331275,1280,501,1781
sap_XGB,SAP-XGB,2024-2025,82.46942341292953,1416,301,1717
sap_XGB,SAP-XGB,Unknown,93.57142857142856,262,18,280
sap_XGB,SAP-XGB,2022,89.30704898446834,1495,179,1674
sap_XGB,SAP-XGB,2011-2020,63.6986301369863,186,106,292
genie,GENIE,2023,22.122403144300957,394,1387,1781
genie,GENIE,2011-2020,3.64963503649635,10,264,274
genie,GENIE,Unknown,29.67032967032967,81,192,273
genie,GENIE,2024-2025,41.933605125218406,720,997,1717
genie,GENIE,2022,70.78853046594982,1185,489,1674
genie,GENIE,2021,69.24939467312349,572,254,826
guarddog,GuardDog,2023,83.32397529477822,1484,297,1781
guarddog,GuardDog,2011-2020,78.46715328467153,215,59,274
guarddog,GuardDog,Unknown,96.7032967032967,264,9,273
guarddog,GuardDog,2022,91.45758661887696,1531,143,1674
guarddog,GuardDog,2024-2025,91.21071012805588,1567,151,1718
guarddog,GuardDog,2021,96.48910411622276,797,29,826
sap_RF,SAP-RF,2024-2025,66.86080372743156,1148,569,1717
sap_RF,SAP-RF,2022,79.98805256869773,1339,335,1674
sap_RF,SAP-RF,2021,86.94074969770253,719,108,827
sap_RF,SAP-RF,2023,39.02302077484559,695,1086,1781
sap_RF,SAP-RF,Unknown,78.21428571428571,219,61,280
sap_RF,SAP-RF,2011-2020,54.7945205479452,160,132,292
packj_trace,Packj-Trace,2023,94.679005205321,1637,92,1729
packj_trace,Packj-Trace,2024-2025,95.74970484061392,1622,72,1694
packj_trace,Packj-Trace,2022,95.96142254370102,1592,67,1659
packj_trace,Packj-Trace,2011-2020,94.48529411764706,257,15,272
packj_trace,Packj-Trace,2021,98.26517967781908,793,14,807
packj_trace,Packj-Trace,Unknown,92.53731343283582,248,20,268
sap_DT,SAP-DT,2024-2025,65.87070471753059,1131,586,1717
sap_DT,SAP-DT,2022,79.68936678614098,1334,340,1674
sap_DT,SAP-DT,2021,86.94074969770253,719,108,827
sap_DT,SAP-DT,2023,38.06850084222347,678,1103,1781
sap_DT,SAP-DT,Unknown,78.21428571428571,219,61,280
sap_DT,SAP-DT,2011-2020,54.10958904109589,158,134,292
packj_static,Packj-Static,2023,98.98933183604716,1763,18,1781
packj_static,Packj-Static,2024-2025,97.90331974373908,1681,36,1717
packj_static,Packj-Static,2021,99.0314769975787,818,8,826
packj_static,Packj-Static,2022,99.0442054958184,1658,16,1674
packj_static,Packj-Static,2011-2020,98.17518248175182,269,5,274
packj_static,Packj-Static,Unknown,99.63636363636364,274,1,275
cerebro,Cerebro,2011-2020,48.95833333333333,141,147,288
cerebro,Cerebro,2021,73.61647361647363,572,205,777
cerebro,Cerebro,2022,79.56989247311827,1258,323,1581
cerebro,Cerebro,2023,67.93548387096774,1053,497,1550
cerebro,Cerebro,2024-2025,61.71352074966533,461,286,747
cerebro,Cerebro,Unknown,17.606079797340087,278,1301,1579
malpacdetector_mlp,MalPac-MLP,2011-2020,75.27272727272727,207,68,275
malpacdetector_mlp,MalPac-MLP,2021,98.18401937046005,811,15,826
malpacdetector_mlp,MalPac-MLP,2022,94.68339307048984,1585,89,1674
malpacdetector_mlp,MalPac-MLP,2023,70.52217855137563,1256,525,1781
malpacdetector_mlp,MalPac-MLP,2024-2025,86.61233993015134,1488,230,1718
malpacdetector_mlp,MalPac-MLP,Unknown,22.236929185969558,336,1175,1511
malpacdetector_nb,MalPac-NB,2011-2020,70.9090909090909,195,80,275
malpacdetector_nb,MalPac-NB,2021,93.7046004842615,774,52,826
malpacdetector_nb,MalPac-NB,2022,90.20310633213859,1510,164,1674
malpacdetector_nb,MalPac-NB,2023,77.42841100505335,1379,402,1781
malpacdetector_nb,MalPac-NB,2024-2025,86.61233993015134,1488,230,1718
malpacdetector_nb,MalPac-NB,Unknown,21.906022501654533,331,1180,1511
malpacdetector_svm,MalPac-SVM,2011-2020,77.0909090909091,212,63,275
malpacdetector_svm,MalPac-SVM,2021,95.76271186440678,791,35,826
malpacdetector_svm,MalPac-SVM,2022,93.4289127837515,1564,110,1674
malpacdetector_svm,MalPac-SVM,2023,77.2599663110612,1376,405,1781
malpacdetector_svm,MalPac-SVM,2024-2025,86.67054714784634,1489,229,1718
malpacdetector_svm,MalPac-SVM,Unknown,20.78093977498345,314,1197,1511
