tool_name,package_id,classifications,num_classifications
sap_RF,0g-storage-contracts/2.2.0,Network Communication; Command Execution,2
sap_RF,121block-pattern-explorer/1.0.0,Data Exfiltration; Network Communication; System Reconnaissance,3
sap_RF,1ru-cache/0.0.1,Data Exfiltration; Persistence Mechanisms; Network Communication; System Reconnaissance,4
sap_RF,1ru-cache/0.0.2,Data Exfiltration; Persistence Mechanisms; Network Communication; System Reconnaissance,4
sap_RF,1ru-cache/6.0.0,Data Exfiltration; Persistence Mechanisms; Network Communication,3
sap_RF,2e6d5f64604be31/1.0.0,File Operations; Obfuscation Techniques,2
sap_RF,2e6d5f64604be31/1.0.2,,0
sap_RF,30-days-of-javascript/6.0.2,Obfuscation Techniques; System Reconnaissance; Command Execution; Data Exfiltration; Persistence Mechanisms,5
sap_RF,33-js-concepts/6.0.2,Data Exfiltration; Obfuscation Techniques; System Reconnaissance; Command Execution,4
sap_RF,@0x000000000000000##util/0.1.0,,0
sap_RF,@0xengine##xmlrpc/1.3.18,,0
sap_RF,@12build##account-api-ts-axios-sdk/1.742.1,Persistence Mechanisms; Command Execution,2
sap_RF,@12build##account-api-ts-axios-sdk/2.743.1,Persistence Mechanisms; Command Execution,2
sap_RF,@12build##account-api-ts-axios-sdk/3.745.1,Persistence Mechanisms; System Reconnaissance; Command Execution,3
sap_RF,@12build##account-api-ts-axios-sdk/4.746.1,Persistence Mechanisms; System Reconnaissance; Command Execution,3
sap_RF,@12build##account-api-ts-axios-sdk/5.747.1,Persistence Mechanisms; System Reconnaissance; Command Execution,3
sap_RF,@12build##account-api-ts-axios-sdk/6.748.1,Persistence Mechanisms; Command Execution,2
sap_RF,@12build##product-api-ts-axios-sdk/0.1.2,,0
sap_RF,@12build##product-api-ts-axios-sdk/1.584.2,Persistence Mechanisms; System Reconnaissance; Command Execution,3
sap_RF,@12build##product-api-ts-axios-sdk/2.585.2,Persistence Mechanisms; Command Execution,2
sap_RF,@12build##product-api-ts-axios-sdk/3.586.2,Persistence Mechanisms; System Reconnaissance; Command Execution,3
sap_RF,@12build##product-api-ts-axios-sdk/4.587.2,Persistence Mechanisms; System Reconnaissance; Command Execution,3
sap_RF,@aluffyz##discord-botjs/1.4.2,,0
sap_RF,@aluffyz##discord-botjs/1.4.5,Obfuscation Techniques; Credential Theft; Anti-Analysis; Command Execution; System Reconnaissance; Data Exfiltration; Network Communication; Browser Manipulation; File Operations,9
sap_RF,@am-fe##components/beta.16,File Operations; Data Exfiltration; Network Communication; System Reconnaissance,4
sap_RF,@am-fe##hooks/beta.3,Data Exfiltration; Network Communication; System Reconnaissance,3
sap_RF,@am-fe##provider/alpha.8,Obfuscation Techniques; Anti-Analysis; Data Exfiltration; Network Communication; Persistence Mechanisms,5
sap_RF,@am-fe##utils/alpha.0,Persistence Mechanisms; Obfuscation Techniques; Anti-Analysis,3
sap_RF,@am-fe##utils/alpha.1,Obfuscation Techniques; Anti-Analysis; Data Exfiltration; Network Communication; Persistence Mechanisms,5
sap_RF,@am-fe##utils/alpha.2,Obfuscation Techniques; Anti-Analysis; Command Execution; Data Exfiltration; Network Communication; Persistence Mechanisms,6
sap_RF,@am-fe##utils/alpha.3,Data Exfiltration; Obfuscation Techniques; Network Communication; Anti-Analysis,4
sap_RF,@am-fe##watermark/1.0.1,Obfuscation Techniques; Anti-Analysis; Data Exfiltration; Network Communication; Persistence Mechanisms,5
sap_RF,@anemone95##evil/1.0.9,Network Communication; Command Execution,2
sap_RF,@atticuss-sra##test-pkg-x4/3.2.0,,0
sap_RF,@authentication-pages##vue-cli-prebuild/2.0.0,System Reconnaissance; Command Execution; Data Exfiltration; Network Communication; Persistence Mechanisms,5
sap_RF,@bingads-webui-campaign-react##labels-page/10.9.3,Persistence Mechanisms; Obfuscation Techniques; Command Execution,3
sap_RF,@bingads-webui-campaign-react##labels-page/9.1.3,Persistence Mechanisms; Obfuscation Techniques; Command Execution,3
sap_RF,@blackice12##tiny/1.0.0,Obfuscation Techniques; Credential Theft; Data Exfiltration; Network Communication; Browser Manipulation,5
sap_RF,@blackice12##tiny/3.0.0,Obfuscation Techniques; Credential Theft; Data Exfiltration; Network Communication; Browser Manipulation,5
sap_RF,@blackice12##tiny/4.0.0,Obfuscation Techniques; Credential Theft; Data Exfiltration; Network Communication; Browser Manipulation,5
sap_RF,@bybit-fe##bitd/69.0.0,,0
sap_RF,@cartus-core##cartus-common-ui/11230000951.0.0,Data Exfiltration; Network Communication; System Reconnaissance,3
sap_RF,@cartus-core##cartus-common-ui/11230000951.0.1,Data Exfiltration; Network Communication; System Reconnaissance,3
sap_RF,@cartus-core##cartus-common-ui/11230000951.0.2,Proxy Manipulation; System Reconnaissance; Data Exfiltration; Network Communication; File Operations,5
sap_RF,@cartus-core##cartus-common-ui/11230000951.0.3,File Operations; Data Exfiltration; Network Communication; System Reconnaissance,4
sap_RF,@cartus-core##cartus-common-ui/11230000951.0.4,Proxy Manipulation; System Reconnaissance; Data Exfiltration; Network Communication; File Operations,5
sap_RF,@cartus-core##cartus-common-ui/11230000951.0.5,Proxy Manipulation; System Reconnaissance; Data Exfiltration; Network Communication; File Operations,5
