Category1,Category2,Count,Percentage
Code_Structure_Obfuscation,String_Obfuscation,106,36.81
Encoding_Obfuscation,String_Obfuscation,48,16.67
Stealth_Execution,String_Obfuscation,25,8.68
Encoding_Obfuscation,Hook_Abuse,19,6.6
Encoding_Obfuscation,Network_Communication_Hiding,13,4.51
Hook_Abuse,Stealth_Execution,13,4.51
Silent_Error_Handling,String_Obfuscation,10,3.47
Stealth_Execution,Trace_Cleanup,10,3.47
Environment_Detection,Stealth_Execution,9,3.12
Encoding_Obfuscation,Module_Abuse,5,1.74
Hook_Abuse,Trace_Cleanup,5,1.74
Environment_Detection,Silent_Error_Handling,4,1.39
Dependency_Confusion,Hook_Abuse,3,1.04
Network_Communication_Hiding,Silent_Error_Handling,3,1.04
Environment_Detection,String_Obfuscation,2,0.69
Encoding_Obfuscation,Silent_Error_Handling,2,0.69
Code_Structure_Obfuscation,Hook_Abuse,2,0.69
Hook_Abuse,Typosquatting,2,0.69
Environment_Detection,Hook_Abuse,1,0.35
Network_Communication_Hiding,String_Obfuscation,1,0.35
Silent_Error_Handling,Stealth_Execution,1,0.35
Hook_Abuse,String_Obfuscation,1,0.35
Anti_Analysis,Code_Structure_Obfuscation,1,0.35
Code_Structure_Obfuscation,Encoding_Obfuscation,1,0.35
Environment_Detection,Trace_Cleanup,1,0.35
