tool,category,total_packages,detected,missed,detection_rate
socketai,Encoding_Obfuscation,374,269,105,0.7192513368983957
socketai,String_Obfuscation,541,455,86,0.8410351201478743
socketai,Hook_Abuse,352,155,197,0.4403409090909091
socketai,Silent_Error_Handling,366,229,137,0.6256830601092896
socketai,Code_Structure_Obfuscation,325,273,52,0.84
socketai,Anti_Analysis,54,35,19,0.6481481481481481
socketai,Network_Communication_Hiding,144,76,68,0.5277777777777778
socketai,Stealth_Execution,263,197,66,0.7490494296577946
socketai,Environment_Detection,117,62,55,0.5299145299145299
socketai,Module_Abuse,175,94,81,0.5371428571428571
socketai,Trace_Cleanup,30,24,6,0.8
socketai,Dependency_Confusion,6,2,4,0.3333333333333333
socketai,Typosquatting,4,2,2,0.5
socketai,Runtime_Caching,4,4,0,1.0
ossgadget,Encoding_Obfuscation,374,362,12,0.9679144385026738
ossgadget,String_Obfuscation,541,466,75,0.8613678373382625
ossgadget,Hook_Abuse,352,327,25,0.9289772727272728
ossgadget,Silent_Error_Handling,366,341,25,0.9316939890710384
ossgadget,Code_Structure_Obfuscation,325,280,45,0.8615384615384616
ossgadget,Anti_Analysis,54,41,13,0.7592592592592593
ossgadget,Network_Communication_Hiding,144,140,4,0.9722222222222222
ossgadget,Stealth_Execution,263,225,38,0.8555133079847909
ossgadget,Environment_Detection,117,109,8,0.9316239316239316
ossgadget,Module_Abuse,175,167,8,0.9542857142857144
ossgadget,Trace_Cleanup,30,26,4,0.8666666666666667
ossgadget,Dependency_Confusion,6,6,0,1.0
ossgadget,Typosquatting,4,4,0,1.0
ossgadget,Runtime_Caching,4,1,3,0.25
sap_XGB,Encoding_Obfuscation,374,299,75,0.7994652406417112
sap_XGB,String_Obfuscation,541,330,211,0.609981515711645
sap_XGB,Hook_Abuse,352,259,93,0.7357954545454546
sap_XGB,Silent_Error_Handling,366,282,84,0.7704918032786885
sap_XGB,Code_Structure_Obfuscation,325,230,95,0.7076923076923077
sap_XGB,Anti_Analysis,54,34,20,0.6296296296296297
sap_XGB,Network_Communication_Hiding,144,130,14,0.9027777777777778
sap_XGB,Stealth_Execution,263,134,129,0.5095057034220533
sap_XGB,Environment_Detection,117,58,59,0.4957264957264957
sap_XGB,Module_Abuse,175,155,20,0.8857142857142857
sap_XGB,Trace_Cleanup,30,4,26,0.1333333333333333
sap_XGB,Dependency_Confusion,6,6,0,1.0
sap_XGB,Typosquatting,4,1,3,0.25
sap_XGB,Runtime_Caching,4,4,0,1.0
genie,Encoding_Obfuscation,374,115,259,0.3074866310160428
genie,String_Obfuscation,541,340,201,0.6284658040665434
genie,Hook_Abuse,352,52,300,0.1477272727272727
genie,Silent_Error_Handling,366,239,127,0.6530054644808743
genie,Code_Structure_Obfuscation,325,224,101,0.6892307692307692
genie,Anti_Analysis,54,15,39,0.2777777777777778
genie,Network_Communication_Hiding,144,95,49,0.6597222222222222
genie,Stealth_Execution,263,87,176,0.3307984790874524
genie,Environment_Detection,117,41,76,0.3504273504273504
genie,Module_Abuse,175,121,54,0.6914285714285714
genie,Trace_Cleanup,30,1,29,0.0333333333333333
genie,Dependency_Confusion,6,2,4,0.3333333333333333
genie,Typosquatting,4,0,4,0.0
genie,Runtime_Caching,4,0,4,0.0
