package_id,package_name,version,classification
helper-annotate-as-pure-99.10.9,helper-annotate-as-pure,99.10.9,Command Execution
hub-blockly-0.1.8,hub-blockly,0.1.8,Data Exfiltration
bfx-util-js-99.10.9,bfx-util-js,99.10.9,Data Exfiltration
bfx-util-js-99.10.10,bfx-util-js,99.10.10,Data Exfiltration
engage-branding-1.10.2,engage-branding,1.10.2,Data Exfiltration
engage-voice-embeddable-99.10.10,engage-voice-embeddable,99.10.10,Data Exfiltration
@ozon-fe##media-player-90.19.0,@ozon-fe##media-player,90.19.0,Command Execution
@b2bgeo##design-system-13.3.8,@b2bgeo##design-system,13.3.8,Data Exfiltration
@b2bgeo##design-system-13.3.7,@b2bgeo##design-system,13.3.7,Data Exfiltration
electron-app-extension-1.0.0,electron-app-extension,1.0.0,Data Exfiltration
mparticle-roku-sdk-99999.1.15,mparticle-roku-sdk,99999.1.15,Command Execution
etherscn-api-10.3.0,etherscn-api,10.3.0,Command Execution
uber-eats-99.9.9,uber-eats,99.9.9,Data Exfiltration
ssc-ui-static-6.2.4,ssc-ui-static,6.2.4,Data Exfiltration
jera-1.0.1,jera,1.0.1,Command Execution
jera-1.0.4,jera,1.0.4,Command Execution
jera-1.0.3,jera,1.0.3,Command Execution
jera-1.0.2,jera,1.0.2,Command Execution
fortnitehammer2-99.10.9,fortnitehammer2,99.10.9,Command Execution
moonbeam-history-99.10.9,moonbeam-history,99.10.9,Command Execution
moonbeam-history-99.10.10,moonbeam-history,99.10.10,Command Execution
identity-browser-manual-99.10.9,identity-browser-manual,99.10.9,Data Exfiltration
uflexreward-test-99.9.9,uflexreward-test,99.9.9,Data Exfiltration
log-packed-99.10.9,log-packed,99.10.9,Data Exfiltration
samples-bootstrap-theme-1.0.0,samples-bootstrap-theme,1.0.0,Data Exfiltration
samples-bootstrap-theme-99.0.0,samples-bootstrap-theme,99.0.0,Data Exfiltration
mona-client-max-99.11.18,mona-client-max,99.11.18,Command Execution
sparkonto-plus-external-web-app-1.0.1,sparkonto-plus-external-web-app,1.0.1,Command Execution
sparkonto-plus-external-web-app-1.0.4,sparkonto-plus-external-web-app,1.0.4,Data Exfiltration
sparkonto-plus-external-web-app-1.0.3,sparkonto-plus-external-web-app,1.0.3,Command Execution
sparkonto-plus-external-web-app-1.0.2,sparkonto-plus-external-web-app,1.0.2,Data Exfiltration
algo-svnlook-1.0.4,algo-svnlook,1.0.4,Command Execution
top-gun-maverick-2.3.0,top-gun-maverick,2.3.0,Data Exfiltration
top-gun-maverick-2.2.0,top-gun-maverick,2.2.0,Data Exfiltration
customers-35.0.0,customers,35.0.0,Command Execution
object-get-own-property-names-external-99.10.13,object-get-own-property-names-external,99.10.13,Data Exfiltration
object-get-own-property-names-external-99.10.9,object-get-own-property-names-external,99.10.9,Command Execution
@fixedwidthtable##fixedwidthtable-0.0.1,@fixedwidthtable##fixedwidthtable,0.0.1,Data Exfiltration
@fixedwidthtable##fixedwidthtable-0.0.3,@fixedwidthtable##fixedwidthtable,0.0.3,Obfuscation Techniques
@fixedwidthtable##fixedwidthtable-0.0.2,@fixedwidthtable##fixedwidthtable,0.0.2,Data Exfiltration
arm-apimanagement-99.10.9,arm-apimanagement,99.10.9,Data Exfiltration
react-window-provider-99.10.9,react-window-provider,99.10.9,Data Exfiltration
@google-research##retvecjs-100.999.99,@google-research##retvecjs,100.999.99,Command Execution
@google-research##retvecjs-10.99.9,@google-research##retvecjs,10.99.9,Command Execution
@google-research##retvecjs-99.99.9,@google-research##retvecjs,99.99.9,Command Execution
@google-research##retvecjs-100.99.9,@google-research##retvecjs,100.99.9,Command Execution
@google-research##retvecjs-100.99.99,@google-research##retvecjs,100.99.99,Command Execution
linencloth-6.5.8,linencloth,6.5.8,Command Execution
arm-links-99.10.9,arm-links,99.10.9,Data Exfiltration
communication-sms-99.10.9,communication-sms,99.10.9,Command Execution
ngx-iceberg-links-395.0.0-beta.1,ngx-iceberg-links-395.0.0,beta.1,Command Execution
