technique,count,percentage
string_obfuscation,512,8.206443340278891
silent_error_handling,362,5.80221189293156
preinstall_hook_abuse,314,5.032857829780413
variable_indirection,294,4.712293636800769
base64_encoding,209,3.3498958166372814
built_in_module_abuse,169,2.708767430677993
hex_encoding,154,2.4683442859432603
conditional_execution,149,2.388203237698349
control_flow_flattening,108,1.7310466420900787
network_traffic_blending,108,1.7310466420900787
environment_detection,81,1.298284981567559
dynamic_evaluation,75,1.2021157236736655
event_based_execution,50,0.8014104824491105
multi_platform_support,37,0.5930437570123417
anti_static_analysis,36,0.5770155473633595
string_splitting,32,0.5129027087674307
postinstall_hook_abuse,31,0.4968744991184485
legitimate_api_abuse,31,0.4968744991184485
file_cleanup,30,0.4808462894694662
dns_exfiltration,18,0.28850777368167974
minimal_code,16,0.25645135438371536
install_script_abuse,16,0.25645135438371536
user_agent_spoofing,12,0.1923385157877865
error_suppression,11,0.1763103061388043
large_file_padding,10,0.16028209648982208
background_execution,10,0.16028209648982208
timing_based_evasion,10,0.16028209648982208
base32_encoding,9,0.14425388684083987
anti_debugging,8,0.12822567719185768
multi_endpoint_exfiltration,8,0.12822567719185768
dependency_confusion,6,0.09616925789389325
unicode_obfuscation,5,0.08014104824491104
code_splitting,5,0.08014104824491104
typosquatting,4,0.06411283859592884
runtime_caching,4,0.06411283859592884
anti_tampering,3,0.04808462894694662
prepare_hook_abuse,3,0.04808462894694662
anti_tamper,3,0.04808462894694662
brotli_encoding,2,0.03205641929796442
shell_expansion,2,0.03205641929796442
sandbox_detection,2,0.03205641929796442
ip_spoofing,1,0.01602820964898221
prototype_pollution,1,0.01602820964898221
encrypted_communication,1,0.01602820964898221
timestamp_preservation,1,0.01602820964898221
code_obfuscation,1,0.01602820964898221
unicode_escape_encoding,1,0.01602820964898221
base58_encoding,1,0.01602820964898221
custom_string_decryption,1,0.01602820964898221
test_script_abuse,1,0.01602820964898221
