tool,technique,total_packages,detected,missed,detection_rate
ossgadget,preinstall_hook_abuse,314,293,21,0.9331210191082803
ossgadget,multi_endpoint_exfiltration,8,6,2,0.75
ossgadget,legitimate_api_abuse,31,29,2,0.9354838709677419
ossgadget,event_based_execution,50,40,10,0.8
ossgadget,prototype_pollution,1,0,1,0.0
ossgadget,dynamic_evaluation,75,62,13,0.8266666666666667
ossgadget,background_execution,10,10,0,1.0
ossgadget,control_flow_flattening,108,91,17,0.8425925925925926
ossgadget,anti_static_analysis,36,28,8,0.7777777777777778
ossgadget,user_agent_spoofing,12,12,0,1.0
ossgadget,large_file_padding,10,8,2,0.8
ossgadget,postinstall_hook_abuse,31,27,4,0.8709677419354839
ossgadget,minimal_code,16,16,0,1.0
ossgadget,anti_tamper,3,3,0,1.0
ossgadget,file_cleanup,30,26,4,0.8666666666666667
ossgadget,silent_error_handling,362,338,24,0.9337016574585635
ossgadget,custom_string_decryption,1,1,0,1.0
ossgadget,sandbox_detection,2,2,0,1.0
ossgadget,base32_encoding,9,8,1,0.8888888888888888
ossgadget,code_obfuscation,1,0,1,0.0
ossgadget,shell_expansion,2,2,0,1.0
ossgadget,anti_debugging,8,5,3,0.625
ossgadget,runtime_caching,4,1,3,0.25
ossgadget,multi_platform_support,37,35,2,0.9459459459459459
ossgadget,string_splitting,32,26,6,0.8125
ossgadget,unicode_escape_encoding,1,1,0,1.0
ossgadget,network_traffic_blending,108,106,2,0.9814814814814815
ossgadget,prepare_hook_abuse,3,3,0,1.0
ossgadget,dns_exfiltration,18,18,0,1.0
ossgadget,timestamp_preservation,1,0,1,0.0
ossgadget,anti_tampering,3,1,2,0.3333333333333333
ossgadget,typosquatting,4,4,0,1.0
ossgadget,unicode_obfuscation,5,5,0,1.0
ossgadget,ip_spoofing,1,1,0,1.0
ossgadget,timing_based_evasion,10,9,1,0.9
ossgadget,conditional_execution,149,129,20,0.8657718120805369
ossgadget,base58_encoding,1,1,0,1.0
ossgadget,install_script_abuse,16,16,0,1.0
ossgadget,encrypted_communication,1,0,1,0.0
ossgadget,built_in_module_abuse,169,163,6,0.9644970414201184
ossgadget,code_splitting,5,5,0,1.0
ossgadget,brotli_encoding,2,2,0,1.0
ossgadget,string_obfuscation,512,442,70,0.86328125
ossgadget,environment_detection,81,75,6,0.9259259259259259
ossgadget,error_suppression,11,7,4,0.6363636363636364
ossgadget,base64_encoding,209,200,9,0.9569377990430622
ossgadget,test_script_abuse,1,1,0,1.0
ossgadget,variable_indirection,294,250,44,0.8503401360544217
ossgadget,dependency_confusion,6,6,0,1.0
ossgadget,hex_encoding,154,151,3,0.9805194805194806
sap_XGB,preinstall_hook_abuse,314,238,76,0.7579617834394905
sap_XGB,multi_endpoint_exfiltration,8,7,1,0.875
sap_XGB,legitimate_api_abuse,31,28,3,0.9032258064516129
sap_XGB,event_based_execution,50,24,26,0.48
sap_XGB,prototype_pollution,1,1,0,1.0
sap_XGB,dynamic_evaluation,75,40,35,0.5333333333333333
sap_XGB,background_execution,10,1,9,0.1
sap_XGB,control_flow_flattening,108,60,48,0.5555555555555556
sap_XGB,anti_static_analysis,36,20,16,0.5555555555555556
sap_XGB,user_agent_spoofing,12,2,10,0.16666666666666666
sap_XGB,large_file_padding,10,8,2,0.8
sap_XGB,postinstall_hook_abuse,31,14,17,0.45161290322580644
sap_XGB,minimal_code,16,15,1,0.9375
sap_XGB,anti_tamper,3,0,3,0.0
sap_XGB,file_cleanup,30,4,26,0.13333333333333333
sap_XGB,silent_error_handling,362,279,83,0.7707182320441989
sap_XGB,custom_string_decryption,1,0,1,0.0
sap_XGB,sandbox_detection,2,2,0,1.0
sap_XGB,base32_encoding,9,9,0,1.0
sap_XGB,code_obfuscation,1,1,0,1.0
sap_XGB,shell_expansion,2,2,0,1.0
sap_XGB,anti_debugging,8,6,2,0.75
sap_XGB,runtime_caching,4,4,0,1.0
sap_XGB,multi_platform_support,37,33,4,0.8918918918918919
sap_XGB,string_splitting,32,21,11,0.65625
sap_XGB,unicode_escape_encoding,1,1,0,1.0
sap_XGB,network_traffic_blending,108,105,3,0.9722222222222222
sap_XGB,prepare_hook_abuse,3,3,0,1.0
sap_XGB,dns_exfiltration,18,18,0,1.0
sap_XGB,timestamp_preservation,1,1,0,1.0
sap_XGB,anti_tampering,3,2,1,0.6666666666666666
sap_XGB,typosquatting,4,1,3,0.25
sap_XGB,unicode_obfuscation,5,0,5,0.0
sap_XGB,ip_spoofing,1,0,1,0.0
sap_XGB,timing_based_evasion,10,6,4,0.6
sap_XGB,conditional_execution,149,65,84,0.436241610738255
sap_XGB,base58_encoding,1,0,1,0.0
sap_XGB,install_script_abuse,16,16,0,1.0
sap_XGB,encrypted_communication,1,1,0,1.0
sap_XGB,built_in_module_abuse,169,150,19,0.8875739644970414
sap_XGB,code_splitting,5,5,0,1.0
sap_XGB,brotli_encoding,2,0,2,0.0
sap_XGB,string_obfuscation,512,310,202,0.60546875
sap_XGB,environment_detection,81,25,56,0.30864197530864196
sap_XGB,error_suppression,11,6,5,0.5454545454545454
sap_XGB,base64_encoding,209,138,71,0.6602870813397129
sap_XGB,test_script_abuse,1,1,0,1.0
sap_XGB,variable_indirection,294,204,90,0.6938775510204082
sap_XGB,dependency_confusion,6,6,0,1.0
sap_XGB,hex_encoding,154,153,1,0.9935064935064936
genie,preinstall_hook_abuse,314,37,277,0.1178343949044586
genie,multi_endpoint_exfiltration,8,2,6,0.25
genie,legitimate_api_abuse,31,19,12,0.6129032258064516
genie,event_based_execution,50,16,34,0.32
genie,prototype_pollution,1,0,1,0.0
genie,dynamic_evaluation,75,6,69,0.08
genie,background_execution,10,5,5,0.5
genie,control_flow_flattening,108,69,39,0.6388888888888888
genie,anti_static_analysis,36,12,24,0.3333333333333333
genie,user_agent_spoofing,12,2,10,0.16666666666666666
