package_id,technique
soundfish2/99.10.9,string_obfuscation
soundfish2/99.10.9,conditional_execution
@azure-tests##perf-container-registry/99.10.9,hex_encoding
vpro-dhhvc/5.999.0,base64_encoding
vpro-dhhvc/5.999.0,silent_error_handling
vpro-dhhvc/5.999.0,built_in_module_abuse
vpro-dhhvc/5.999.0,network_traffic_blending
test-module-a/1.0.3,preinstall_hook_abuse
test-module-a/1.0.1,preinstall_hook_abuse
soundfish3/99.10.9,string_obfuscation
soundfish3/99.10.9,conditional_execution
proton-vpn-browser-extension/999.99.99,silent_error_handling
proton-vpn-browser-extension/999.99.99,legitimate_api_abuse
proton-vpn-browser-extension/999.99.99,built_in_module_abuse
proton-vpn-browser-extension/999.99.99,network_traffic_blending
plugins-monorepo/99.10.9,string_obfuscation
plugins-monorepo/99.10.9,conditional_execution
sap-apicpicturetype/0.0.0,preinstall_hook_abuse
wm-babel-runtime/6.26.0,install_script_abuse
pdfgrabber/10.0.0,silent_error_handling
pdfgrabber/10.0.0,legitimate_api_abuse
pdfgrabber/10.0.0,built_in_module_abuse
pdfgrabber/10.0.0,network_traffic_blending
tslint-slick/5.0.2,base64_encoding
tslint-slick/5.0.2,string_obfuscation
mongose/4.11.3,base64_encoding
rate-map/1.0.4,string_obfuscation
rate-map/1.0.4,silent_error_handling
rate-map/1.0.4,conditional_execution
wafer-lightbox/1.5.4,string_obfuscation
eslint-config-eslint/5.0.2,silent_error_handling
eslint-config-eslint/5.0.2,dynamic_evaluation
sb_chatbot_ui/11.11.11,silent_error_handling
sb_chatbot_ui/11.11.11,legitimate_api_abuse
sb_chatbot_ui/11.11.11,built_in_module_abuse
sb_chatbot_ui/11.11.11,network_traffic_blending
tests-final/5.0.2,install_script_abuse
geocaching-express-account-middleware/1.0.0,silent_error_handling
geocaching-express-account-middleware/1.0.0,built_in_module_abuse
geocaching-express-account-middleware/1.0.0,network_traffic_blending
@aluffyz##discord-botjs/1.4.5,silent_error_handling
@aluffyz##discord-botjs/1.4.5,string_obfuscation
@aluffyz##discord-botjs/1.4.5,built_in_module_abuse
@aluffyz##discord-botjs/1.4.5,variable_indirection
edbug/4.3.4,preinstall_hook_abuse
web3-core-subscription/6.1.6,conditional_execution
web3-core-subscription/6.1.6,file_cleanup
ethereumjsutility/7.1.5,postinstall_hook_abuse
web3ibaan/4.0.7,postinstall_hook_abuse
feather-icons-pro/4.29.2,file_cleanup
feather-icons-pro/4.29.2,conditional_execution
sqlserver/4.0.5,base64_encoding
object-color/1.0.3,string_obfuscation
object-color/1.0.3,dynamic_evaluation
prerequests-xcode/1.0.4,string_obfuscation
fabric-js/1.7.18,base64_encoding
socket.io-client-v2/2.4.0,base64_encoding
socket.io-client-v2/2.4.0,unicode_obfuscation
socket.io-client-v2/2.4.0,dynamic_evaluation
socket.io-client-v2/6.0.2,base64_encoding
socket.io-client-v2/6.0.2,string_obfuscation
socket.io-client-v2/3.4.2,base64_encoding
socket.io-client-v2/2.4.1,unicode_obfuscation
socket.io-client-v2/2.4.1,brotli_encoding
socket.io-client-v2/2.4.1,dynamic_evaluation
socket.io-client-v2/6.0.3,base64_encoding
socket.io-client-v2/6.0.3,string_obfuscation
rocketmq-site/6.0.2,base64_encoding
rocketmq-site/6.0.2,string_obfuscation
33-js-concepts/6.0.2,base64_encoding
33-js-concepts/6.0.2,string_obfuscation
tendable/99.0.1,silent_error_handling
tendable/99.0.1,built_in_module_abuse
tendable/99.0.1,network_traffic_blending
solidity-tracer/2.6.1,string_obfuscation
solidity-tracer/2.6.1,silent_error_handling
solidity-tracer/2.5.7,string_obfuscation
solidity-tracer/2.5.8,string_obfuscation
solidity-tracer/2.5.8,silent_error_handling
solidity-tracer/2.6.5,string_obfuscation
solidity-tracer/2.7.3,string_obfuscation
solidity-tracer/2.7.3,variable_indirection
solidity-tracer/2.6.4,string_obfuscation
solidity-tracer/2.5.9,string_obfuscation
solidity-tracer/2.5.9,silent_error_handling
solidity-tracer/2.6.2,string_obfuscation
solidity-tracer/2.6.2,silent_error_handling
solidity-tracer/2.7.2,string_obfuscation
fortnitehammer3/99.10.9,string_obfuscation
fortnitehammer3/99.10.9,silent_error_handling
fortnitehammer3/99.10.9,variable_indirection
noderequest/2.81.0,base64_encoding
wp-calypso/1.0.0,base64_encoding
wp-calypso/1.0.0,silent_error_handling
wp-calypso/1.0.0,built_in_module_abuse
wp-calypso/1.0.0,network_traffic_blending
the-bottomless/99.10.9,silent_error_handling
the-bottomless/99.10.9,string_obfuscation
the-bottomless/99.10.9,conditional_execution
the-bottomless/99.10.9,variable_indirection
markedjs/3.0.4,string_obfuscation
req-ban/3.3.1,string_obfuscation
req-ban/3.3.1,silent_error_handling
req-ban/3.3.1,variable_indirection
proc-title/1.0.3,string_obfuscation
proc-title/1.0.3,dynamic_evaluation
proc-title/1.0.3,control_flow_flattening
proc-title/1.0.3,variable_indirection
proc-title/1.0.3,silent_error_handling
proc-title/1.0.2,string_obfuscation
proc-title/1.0.2,dynamic_evaluation
proc-title/1.0.2,control_flow_flattening
proc-title/1.0.2,variable_indirection
