# NPM包处理失败记录
# 格式: [处理序号/总数] ❌ 处理失败: 包路径, 原因: 失败原因
# 生成时间: 2025-04-27 16:50:13

[500/8024] ❌ 处理失败: node-ar.js/0.0.5/node-ar.js-0.0.5.tgz, 原因: 审计失败
[790/8024] ❌ 处理失败: react-file-viewer-plugins-v5/1.0.0/react-file-viewer-plugins-v5-1.0.0.tgz, 原因: 审计失败
[914/8024] ❌ 处理失败: horizonfrontierjs/2.0.3/horizonfrontierjs-2.0.3.tgz, 原因: 审计失败
[1605/8024] ❌ 处理失败: @supermap##iclient-mapboxgl/11.1.1/@supermap##iclient-mapboxgl-11.1.1.tgz, 原因: 审计失败
[2987/8024] ❌ 处理失败: wizzi-tools/0.7.7/wizzi-tools-0.7.7.tgz, 原因: 审计失败
[3346/8024] ❌ 处理失败: image-size-reducer/1.0.3/image-size-reducer-1.0.3.tgz, 原因: 审计失败
[3473/8024] ❌ 处理失败: react-timeseries-charts-temp/0.15.3/react-timeseries-charts-temp-0.15.3.tgz, 原因: 审计失败
[4991/8024] ❌ 处理失败: sun-layout/1.1.2/sun-layout-1.1.2.tgz, 原因: 审计失败
[5781/8024] ❌ 处理失败: @stepday##r-echarts/1.0.2/@stepday##r-echarts-1.0.2.tgz, 原因: 审计失败
[5852/8024] ❌ 处理失败: react-fitbox/0.2.7/react-fitbox-0.2.7.tgz, 原因: 审计失败
[5992/8024] ❌ 处理失败: line-and-bar-common-chart/1.0.9/line-and-bar-common-chart-1.0.9.tgz, 原因: 审计失败
[6107/8024] ❌ 处理失败: react-file-viewer-plugins-v3/1.0.0/react-file-viewer-plugins-v3-1.0.0.tgz, 原因: 审计失败
[7500/8024] ❌ 处理失败: vue-ol_gismap/0.0.6/vue-ol_gismap-0.0.6.tgz, 原因: 审计失败
