category,techniques,count,percentage,description
Encoding_Obfuscation,"base64_encoding,hex_encoding,base32_encoding,base58_encoding,brotli_encoding,unicode_escape_encoding",376,6.0289,"Obfuscating malicious code through various encoding methods like Base64, hexadecimal, Base32, etc."
String_Obfuscation,"string_obfuscation,string_splitting,unicode_obfuscation,custom_string_decryption",550,8.8178,"Hiding malicious strings and code patterns through string splitting, Unicode obfuscation, and custom decryption"
Hook_Abuse,"preinstall_hook_abuse,postinstall_hook_abuse,prepare_hook_abuse,install_script_abuse,test_script_abuse",365,5.8503,"Abusing NPM package lifecycle hooks to execute malicious code during installation phases"
Silent_Error_Handling,"silent_error_handling,error_suppression",373,5.9785,"Hiding malicious behavior by silently handling errors and suppressing exceptions"
Code_Structure_Obfuscation,"control_flow_flattening,code_splitting,code_obfuscation,variable_indirection,minimal_code",424,6.7967,"Obfuscating code structure through control flow flattening, code splitting, variable indirection, and code minimization"
Anti_Analysis,"anti_static_analysis,anti_debugging,anti_tampering,anti_tamper,sandbox_detection,large_file_padding",62,0.9938,"Preventing static analysis, debugging detection, tampering, and using file padding to evade detection"
Network_Communication_Hiding,"network_traffic_blending,dns_exfiltration,multi_endpoint_exfiltration,user_agent_spoofing,ip_spoofing,encrypted_communication",148,2.3723,"Hiding network behavior through traffic blending, DNS exfiltration, communication spoofing, and encryption"
Stealth_Execution,"dynamic_evaluation,conditional_execution,event_based_execution,background_execution,timing_based_evasion,shell_expansion",296,4.7444,"Controlling malicious code execution timing and stealth through dynamic evaluation, conditional execution, and shell operations"
Environment_Detection,"environment_detection,multi_platform_support",118,1.8913,"Detecting runtime environment and supporting multiple platforms for adaptive execution"
Module_Abuse,"built_in_module_abuse,legitimate_api_abuse",200,3.2056,"Abusing built-in modules and legitimate APIs to perform malicious operations"
Trace_Cleanup,"file_cleanup",30,0.4809,"Cleaning up files and traces to reduce detection likelihood"
Dependency_Confusion,"dependency_confusion",6,0.0962,"Exploiting dependency confusion vulnerabilities in package management"
Typosquatting,"typosquatting",4,0.0641,"Using similar package names to deceive users into installing malicious packages"
Runtime_Caching,"runtime_caching",4,0.0641,"Caching techniques used during runtime execution"
