hasInstallScript,false
includeIP,false
useBase64Conversion,false
useBase64ConversionInScript,false
includeBase64String,true
includeBase64StringInScript,false
includeByteString,false
includeDomain,0
includeDomainInScript,0
useBuffer,true
useEval,false
useProcess,true
useProcessInScript,false
useFileSystem,true
useFileSystemInScript,false
useNetwork,true
useNetworkInScript,false
useProcessEnv,false
useProcessEnvInScript,false
containSuspicousString,false
useEncryptAndEncode,true
useOperatingSystem,true
includeObfuscatedCode,false
