source,package_name,version,file,type,summary,cluster_kmeans,cluster_spectral,cluster_agglomerative,cluster_dbscan
malware_snippets,soundfish2,99.10.9,package/index.js,npm-obfuscation,Collects system info and exfiltrates it to remote server via HTTPS POST.,17,16,17,-1
malware_snippets,soundfish2,99.10.9,package/package.json,npm-install-script,Executes index.js automatically before package installation via npm preinstall script.,5,1,11,2
malware_snippets,arm-commerce,99.10.9,package/package.json,npm-install-script,"Executes index.js automatically before install, enabling arbitrary code execution on package install.",2,12,16,-1
malware_snippets,arm-commerce,99.10.9,package/index.js,npm-exfiltrate-sensitive-data,Collects system/user data and exfiltrates via HTTPS POST to remote server.,1,8,4,3
malware_snippets,arm-commerce,99.10.9,package/index.js,npm-exfiltrate-sensitive-data,Exfiltrates host/user info and directory listing to remote server via HTTPS POST.,9,0,1,-1
malware_snippets,web-chat-portal,9.1.8,tmp/tmpn0g3rqa1/web-chat-portal/package/index.js,npm-exfiltrate-sensitive-data,Collects system/user info and exfiltrates via HTTPS POST to Discord webhook.,3,0,5,-1
malware_snippets,web-chat-portal,9.1.8,tmp/tmpn0g3rqa1/web-chat-portal/package/index.js,npm-exfiltrate-sensitive-data,Collects system/user info and exfiltrates it to a Discord webhook via HTTPS POST.,3,15,5,-1
malware_snippets,web-chat-portal,9.1.8,tmp/tmpn0g3rqa1/web-chat-portal/package/index.js,shady-links,Fetches external IP and organization info from ipinfo.io using HTTPS request.,15,0,10,-1
malware_snippets,web-chat-portal,9.1.8,tmp/tmpn0g3rqa1/web-chat-portal/package/index.js,shady-links,Collects system/user data and exfiltrates it to a Discord webhook via HTTPS POST.,3,15,5,-1
malware_snippets,web-chat-portal,9.1.8,tmp/tmpn0g3rqa1/web-chat-portal/package/package.json,npm-install-script,Executes index.js automatically during npm install via preinstall script.,12,0,3,15
malware_snippets,emon-testt,1.0.0,package/package.json,npm-install-script,"Executes index.js automatically before install, enabling arbitrary code execution on npm install.",12,0,3,-1
malware_snippets,emon-testt,1.0.0,package/index.js,shady-links,"Collects system and user data, exfiltrates via HTTPS POST to attacker-controlled server.",7,0,6,-1
malware_snippets,emon-testt,1.0.0,package/index.js,npm-exfiltrate-sensitive-data,"Collects system and package data, exfiltrates via HTTPS POST to external server.",7,11,8,-1
malware_snippets,emon-testt,1.0.0,package/index.js,npm-exfiltrate-sensitive-data,"Collects system and package data, exfiltrates via HTTPS POST to external server.",7,11,8,-1
malware_snippets,@azure-tests##perf-container-registry,99.10.9,package/package.json,npm-install-script,"Executes index.js automatically before install, enabling arbitrary code execution on package install.",2,12,16,0
malware_snippets,@azure-tests##perf-container-registry,99.10.9,package/index.js,npm-exfiltrate-sensitive-data,Collects system/user data and exfiltrates it to remote server via HTTPS POST.,17,3,17,-1
malware_snippets,@azure-tests##perf-container-registry,99.10.9,package/index.js,npm-exfiltrate-sensitive-data,Collects system/user info and exfiltrates via HTTPS POST to remote server.,1,0,4,-1
malware_snippets,core-auth,99.10.9,package/package.json,npm-install-script,"Executes index.js automatically before install, enabling arbitrary code execution during npm install.",12,0,3,8
malware_snippets,core-auth,99.10.9,package/index.js,npm-exfiltrate-sensitive-data,Collects system/user data and exfiltrates it to remote server via HTTPS POST.,17,3,17,-1
malware_snippets,core-auth,99.10.9,package/index.js,npm-exfiltrate-sensitive-data,Collects system/user data and exfiltrates it via HTTPS POST to remote server.,17,3,17,-1
malware_snippets,vpro-dhhvc,5.999.0,package/package.json,npm-install-script,"Runs index.js silently before install, potentially executing hidden code.",14,0,7,-1
malware_snippets,vpro-dhhvc,5.999.0,package/index.js,shady-links,Collects system info and exfiltrates it via POST to remote server.,17,16,17,-1
malware_snippets,hngularjs,1.1.4,package/package.json,npm-install-script,"Executes new.js automatically before install, enabling arbitrary code execution on package install.",2,2,6,19
malware_snippets,hngularjs,1.1.4,package/new.js,shady-links,"Steals host IP, network, and user info, sending to Discord webhook via HTTPS.",9,0,1,-1
malware_snippets,hngularjs,8.7.6,package/package.json,npm-install-script,"Executes new.js automatically before install, enabling arbitrary code execution on package install.",2,2,6,19
malware_snippets,hngularjs,1.1.2,package/package.json,npm-install-script,Executes new.js automatically before package installation via npm preinstall script.,5,4,6,1
