hasInstallScript,true
includeIP,false
useBase64Conversion,false
useBase64ConversionInScript,false
includeBase64String,true
includeBase64StringInScript,true
includeByteString,false
includeDomain,3
includeDomainInScript,0
useBuffer,false
useEval,false
useProcess,true
useProcessInScript,false
useFileSystem,true
useFileSystemInScript,true
useNetwork,false
useNetworkInScript,false
useProcessEnv,true
useProcessEnvInScript,true
containSuspicousString,false
useEncryptAndEncode,true
useOperatingSystem,false
includeObfuscatedCode,false
